date,year,quarter,month,month_name,week,day,day_of_week,is_weekend
2017-04-15,2017,2,4,April,15,15,5,1
2017-04-16,2017,2,4,April,15,16,6,1
2017-04-17,2017,2,4,April,16,17,0,0
2017-04-18,2017,2,4,April,16,18,1,0
2017-04-19,2017,2,4,April,16,19,2,0
2017-04-20,2017,2,4,April,16,20,3,0
2017-04-21,2017,2,4,April,16,21,4,0
2017-04-22,2017,2,4,April,16,22,5,1
2017-04-23,2017,2,4,April,16,23,6,1
2017-04-24,2017,2,4,April,17,24,0,0
2017-04-25,2017,2,4,April,17,25,1,0
2017-04-26,2017,2,4,April,17,26,2,0
2017-04-27,2017,2,4,April,17,27,3,0
2017-04-28,2017,2,4,April,17,28,4,0
2017-04-29,2017,2,4,April,17,29,5,1
2017-04-30,2017,2,4,April,17,30,6,1
2017-05-01,2017,2,5,May,18,1,0,0
2017-05-02,2017,2,5,May,18,2,1,0
2017-05-03,2017,2,5,May,18,3,2,0
2017-05-04,2017,2,5,May,18,4,3,0
2017-05-05,2017,2,5,May,18,5,4,0
2017-05-06,2017,2,5,May,18,6,5,1
2017-05-07,2017,2,5,May,18,7,6,1
2017-05-08,2017,2,5,May,19,8,0,0
2017-05-09,2017,2,5,May,19,9,1,0
2017-05-10,2017,2,5,May,19,10,2,0
2017-05-11,2017,2,5,May,19,11,3,0
2017-05-12,2017,2,5,May,19,12,4,0
2017-05-13,2017,2,5,May,19,13,5,1
2017-05-14,2017,2,5,May,19,14,6,1
2017-05-15,2017,2,5,May,20,15,0,0
2017-05-16,2017,2,5,May,20,16,1,0
2017-05-17,2017,2,5,May,20,17,2,0
2017-05-18,2017,2,5,May,20,18,3,0
2017-05-19,2017,2,5,May,20,19,4,0
2017-05-20,2017,2,5,May,20,20,5,1
2017-05-21,2017,2,5,May,20,21,6,1
2017-05-22,2017,2,5,May,21,22,0,0
2017-05-23,2017,2,5,May,21,23,1,0
2017-05-24,2017,2,5,May,21,24,2,0
2017-05-25,2017,2,5,May,21,25,3,0
2017-05-26,2017,2,5,May,21,26,4,0
2017-05-27,2017,2,5,May,21,27,5,1
2017-05-28,2017,2,5,May,21,28,6,1
2017-05-29,2017,2,5,May,22,29,0,0
2017-05-30,2017,2,5,May,22,30,1,0
2017-05-31,2017,2,5,May,22,31,2,0
2017-06-01,2017,2,6,June,22,1,3,0
2017-06-02,2017,2,6,June,22,2,4,0
2017-06-03,2017,2,6,June,22,3,5,1
2017-06-04,2017,2,6,June,22,4,6,1
2017-06-05,2017,2,6,June,23,5,0,0
2017-06-06,2017,2,6,June,23,6,1,0
2017-06-07,2017,2,6,June,23,7,2,0
2017-06-08,2017,2,6,June,23,8,3,0
2017-06-09,2017,2,6,June,23,9,4,0
2017-06-10,2017,2,6,June,23,10,5,1
2017-06-11,2017,2,6,June,23,11,6,1
2017-06-12,2017,2,6,June,24,12,0,0
2017-06-13,2017,2,6,June,24,13,1,0
2017-06-14,2017,2,6,June,24,14,2,0
2017-06-15,2017,2,6,June,24,15,3,0
2017-06-16,2017,2,6,June,24,16,4,0
2017-06-17,2017,2,6,June,24,17,5,1
2017-06-18,2017,2,6,June,24,18,6,1
2017-06-19,2017,2,6,June,25,19,0,0
2017-06-20,2017,2,6,June,25,20,1,0
2017-06-21,2017,2,6,June,25,21,2,0
2017-06-22,2017,2,6,June,25,22,3,0
2017-06-23,2017,2,6,June,25,23,4,0
2017-06-24,2017,2,6,June,25,24,5,1
2017-06-25,2017,2,6,June,25,25,6,1
2017-06-26,2017,2,6,June,26,26,0,0
2017-06-27,2017,2,6,June,26,27,1,0
2017-06-28,2017,2,6,June,26,28,2,0
2017-06-29,2017,2,6,June,26,29,3,0
2017-06-30,2017,2,6,June,26,30,4,0
2017-07-01,2017,3,7,July,26,1,5,1
